,Random seed,SPT,EDD,MST,ST,CR,WSPT,FIFO,DQN
81,4259.0,0.405,0.52,0.22,0.75,0.295,0.69,0.18,0.22
82,721.0,0.45,0.21,0.23,0.36,0.195,0.34,0.555,0.475
83,8461.0,0.29,0.22,0.37,0.19,0.36,0.225,0.215,0.25
84,2840.0,0.435,0.5,0.225,0.13,0.635,0.175,0.22,0.21
85,9882.0,0.235,0.35,0.33,0.345,0.245,0.28,0.48,0.135
86,5064.0,0.37,0.405,0.325,0.235,0.58,0.685,0.25,0.125
87,9102.0,0.43,0.21,0.575,0.22,0.51,0.395,0.475,0.335
88,1565.0,0.32,0.175,0.27,0.365,0.225,0.29,0.13,0.33
89,4801.0,0.35,0.245,0.47,0.15,0.39,0.275,0.245,0.255
90,421.0,0.36,0.255,0.37,0.325,0.49,0.16,0.19,0.16
91,3966.0,0.18,0.34,0.165,0.21,0.19,0.29,0.445,0.355
92,960.0,0.165,0.11,0.25,0.69,0.975,0.18,0.48,0.275
93,5149.0,0.21,0.39,0.285,0.335,0.37,0.175,0.165,0.2
94,3840.0,0.275,0.29,0.395,0.375,0.2,0.255,0.305,0.275
95,1905.0,0.42,0.14,0.25,0.205,0.36,0.345,0.185,0.26
96,3234.0,0.22,0.15,0.645,0.655,0.365,0.545,0.43,0.215
97,1923.0,0.56,0.995,0.235,0.18,0.51,0.15,0.37,0.205
98,2585.0,0.275,0.38,0.205,0.15,0.195,0.17,0.67,0.115
99,7370.0,0.58,0.86,0.27,0.285,0.205,0.365,0.54,0.355
