,Random seed,SPT,EDD,MST,ST,CR,WSPT,FIFO,DQN
81,424.0,0.095,0.265,0.13,0.265,0.31,0.185,0.145,0.285
82,9939.0,0.345,0.15,0.375,0.285,0.165,0.21,0.175,0.21
83,3895.0,0.155,0.305,0.245,0.28,0.125,0.165,0.225,0.26
84,2416.0,0.185,0.305,0.205,0.185,0.565,0.425,0.255,0.155
85,5143.0,0.225,0.125,0.18,0.23,0.385,0.145,0.22,0.26
86,5100.0,0.155,0.145,0.35,0.275,0.195,0.345,0.225,0.13
87,5598.0,0.22,0.245,0.34,0.245,0.18,0.165,0.25,0.195
88,4979.0,0.34,0.345,0.285,0.2,0.25,0.32,0.185,0.195
89,8786.0,0.14,0.185,0.47,0.2,0.19,0.42,0.17,0.26
90,4874.0,0.195,0.16,0.17,0.21,0.475,0.185,0.315,0.145
91,971.0,0.225,0.66,0.2,0.52,0.15,0.285,0.22,0.24
92,3386.0,0.115,0.21,0.175,0.485,0.28,0.205,0.475,0.205
93,9179.0,0.46,0.14,0.2,0.39,0.235,0.22,0.31,0.22
94,1392.0,0.215,0.18,0.2,0.295,0.18,0.115,0.27,0.29
95,268.0,0.185,0.325,0.185,0.335,0.145,0.34,0.225,0.125
96,2180.0,0.44,0.18,0.21,0.31,0.36,0.38,0.23,0.235
97,6636.0,0.35,0.175,0.335,0.305,0.295,0.3,0.16,0.255
98,6715.0,0.195,0.245,0.35,0.235,0.2,0.25,0.18,0.26
99,1545.0,0.37,0.44,0.125,0.17,0.165,0.15,0.315,0.23
